RK,TEAM,team_id,Home.GMS,Home.TOTAL,Home.AVG,Home.PCT,Road.GMS,Road.AVG,Road.PCT,Overall.GMS,Overall.AVG,Overall.PCT,Year,season_id
1,Pistons,11,41,905116,22076,100,41,18637,123.9,82,20356,109.7,2006,1
2,Bulls,6,41,868720,21188,97.6,41,17397,119.6,82,19292,106.4,2006,1
3,Mavericks,9,41,824693,20114,NA,41,17591,118,82,18853,252.9,2006,1
4,Heat,18,41,818149,19954,101.8,41,18991,129.5,82,19473,113.7,2006,1
5,Cavaliers,8,41,792391,19326,94,41,18800,124.5,82,19063,106.9,2006,1
6,NY Knicks,25,41,776176,18931,98.2,41,17572,120.2,82,18251,107.7,2006,1
7,Lakers,16,41,774189,18882,97.9,41,18812,130.1,82,18847,111.7,2006,1
8,Spurs,32,41,770677,18797,101.6,41,18376,130.3,82,18586,114,2006,1
9,Jazz,35,41,751621,18332,92.1,41,17048,122.1,82,17690,104.5,2006,1
10,Warriors,12,41,749185,18272,93.2,41,16775,112.7,82,17524,101.6,2006,1
11,Pelicans,22,41,744920,18168,NA,41,16659,105.2,82,17414,203.7,2006,1
12,Suns,29,41,730179,17809,93.6,41,17694,126.4,82,17751,107.5,2006,1
13,Clippers,15,41,712409,17375,NA,41,16944,110.6,82,17160,223.9,2006,1
14,Kings,31,41,709997,17317,100,41,17101,117.9,82,17209,108.1,2006,1
15,Wizards,37,41,705062,17196,NA,41,17291,110.7,82,17244,220.7,2006,1
16,Nuggets,10,41,702645,17137,NA,41,17637,115,82,17387,226.6,2006,1
17,Raptors,34,41,699332,17056,86.1,41,16595,109.9,82,16826,96.4,2006,1
18,Celtics,2,41,692873,16899,90.7,41,17920,117.9,82,17409,102.9,2006,1
19,Nets,3,41,691543,16866,84.4,41,17710,120.3,82,17288,99.6,2006,1
20,Bucks,19,41,681337,16617,88.8,41,17119,112.8,82,16868,99.5,2006,1
21,76ers,28,41,677278,16518,80.8,41,18627,123.9,82,17573,99.1,2006,1
22,Hornets,4,41,671011,16366,NA,41,17117,109.7,82,16741,214.7,2006,1
23,Thunder,26,41,664157,16198,94.9,41,17195,118.3,82,16697,105.7,2006,1
24,Pacers,14,41,663368,16179,88.2,41,17624,119.4,82,16902,102.1,2006,1
25,Timberwolves,20,41,662167,16150,85,41,17421,120.2,82,16785,100.2,2006,1
26,Grizzlies,17,41,647533,15793,85.8,41,17211,123.1,82,16502,101.9,2006,1
27,Magic,27,41,638005,15561,90.2,41,17084,116.2,82,16322,102.2,2006,1
28,Rockets,13,41,636110,15514,83.9,41,17554,125.5,82,16534,101.8,2006,1
29,Hawks,1,41,617942,15071,NA,41,17067,109.5,82,16069,206.2,2006,1
30,Trail Blazers,30,41,617019,15049,75.3,41,17144,118.9,82,16097,93.6,2006,1
1,Bulls,6,41,912364,22252,102.5,41,18153,113.4,82,20202,107.1,2007,2
2,Pistons,11,41,905116,22076,100,41,18001,109.6,82,20038,104.1,2007,2
